,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,trend,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
281,156.1,157.46,154.92,156.14,151.0478,1240561,0.0,1.0,2018-11-06,UP,144.2487,146.5135,2.0257,1.7741,0.2516,77.5205,71.6041,52.5594,8.2704,149.781,86.6667,96.6667,131.9159,144.2487,156.5814,275029708.6568,133572228.0
282,154.6,155.92,153.72,155.44,150.3706,1020943,0.0,1.0,2018-11-05,DOWN,144.0367,146.1886,1.4528,1.6447,-0.1919,82.0864,78.6831,52.0393,8.3391,144.3745,88.3333,98.3333,132.095,144.0367,155.9784,275078552.4575,132331667.0
283,158.8,159.98,154.36,154.36,149.3258,2844565,0.0,1.0,2018-11-02,DOWN,143.911,145.9034,0.8531,1.4562,-0.6031,82.4396,82.2743,53.6591,8.4291,168.9088,90.0,100.0,132.2615,143.911,155.5605,274503108.5106,131310724.0
284,149.0,153.42,147.54,151.54,146.5978,1741437,0.0,1.0,2018-11-01,DOWN,143.723,145.4663,-0.3523,0.6149,-0.9672,76.3228,85.3018,50.095,8.5117,100.1492,91.6667,53.3333,132.6931,143.723,154.7529,277347673.5106,128466159.0
285,150.0,152.58,148.76,148.76,143.9085,2099637,0.0,1.0,2018-10-31,DOWN,143.6783,145.3465,-0.8879,0.233,-1.1209,63.8222,79.7426,50.4846,8.6283,90.8561,93.3333,55.0,132.7127,143.6783,154.6439,276719810.4373,126724722.0
286,147.0,149.74,144.24,146.74,141.9544,2700967,0.0,1.0,2018-10-30,DOWN,143.6193,145.1887,-1.6604,-0.4812,-1.1792,45.4638,63.924,49.322,8.7635,47.0522,95.0,56.6667,132.7528,143.6193,154.4859,278819447.4373,124625085.0
287,137.98,146.34,137.92,142.42,137.7752,2427332,0.0,1.0,2018-10-29,DOWN,143.6043,145.1273,-2.3167,-1.2579,-1.0589,29.7458,47.7999,45.5412,8.8613,-20.6726,96.6667,58.3333,132.754,143.6043,154.4547,279064989.8919,121924118.0
288,135.5,136.88,133.9,136.88,132.4159,1390575,0.0,1.0,2018-10-26,DOWN,143.7057,145.3696,-2.2024,-1.4581,-0.7444,18.9652,24.6677,44.4202,8.9117,-113.8072,98.3333,60.0,132.9542,143.7057,154.4571,278897785.9358,119496786.0
289,132.24,137.88,131.44,137.0,132.532,1732067,0.0,1.0,2018-10-25,UP,143.8787,145.7042,-1.772,-1.3921,-0.3799,20.6894,16.7699,42.9009,8.8132,-125.203,100.0,61.6667,133.3288,143.8787,154.4285,277507210.9358,120887361.0
290,140.2,141.04,133.0,133.7,129.3396,2296187,0.0,1.0,2018-10-24,DOWN,144.258,146.1606,-0.8649,-0.833,-0.0318,30.6576,15.4581,45.9144,8.713,-122.4938,100.0,63.3333,133.7728,144.258,154.7432,276248506.3083,119155294.0
291,139.96,140.74,138.54,139.7,135.144,1707878,0.0,1.0,2018-10-23,UP,144.4497,146.3627,-0.505,-0.6814,0.1764,46.502,29.8402,45.8015,8.6306,-69.5956,48.3333,65.0,133.8484,144.4497,155.0509,278144861.1605,121451481.0
292,146.2,147.22,141.68,142.34,137.6978,963036,0.0,1.0,2018-10-22,UP,144.6303,146.5797,-0.0138,-0.3606,0.3468,61.514,46.6745,48.3831,8.6191,-11.1248,50.0,66.6667,133.972,144.6303,155.2887,278051708.4863,123159359.0
293,145.54,145.74,139.16,143.98,139.2844,2178262,0.0,1.0,2018-10-19,UP,144.7317,146.5926,-0.0221,-0.459,0.4369,71.0662,62.9912,48.0787,8.651,-24.0989,51.6667,68.3333,133.9013,144.7317,155.562,278785283.7259,124122395.0
294,147.18,149.3,145.4,145.58,140.8322,1146495,0.0,1.0,2018-10-18,UP,144.8393,146.6282,0.0349,-0.5168,0.5517,68.5466,74.8762,48.7816,8.6594,28.0344,53.3333,70.0,133.8517,144.8393,155.827,277772298.724,126300657.0
295,148.48,149.24,145.52,147.1,142.3026,984097,0.0,1.0,2018-10-17,UP,144.8897,146.6095,-0.0599,-0.7407,0.6809,54.7565,75.3311,49.3438,8.7588,35.331,55.0,71.6667,133.8321,144.8897,155.9472,278812958.9995,127447152.0
296,144.66,149.32,143.48,147.42,142.6122,2203530,0.0,1.0,2018-10-16,UP,144.87,146.5461,-0.3123,-1.1783,0.866,34.5713,55.4325,47.5986,8.8616,26.8663,56.6667,73.3333,133.8339,144.87,155.9061,278961101.939,128431249.0
297,141.3,146.72,139.66,144.42,139.71,1640865,0.0,1.0,2018-10-15,DOWN,144.8573,146.6101,-0.241,-1.4016,1.1606,20.9754,33.5059,45.9891,8.9662,-16.7202,58.3333,75.0,133.8185,144.8573,155.8961,278191379.7678,126227719.0
298,142.0,143.44,140.12,140.16,135.589,1194692,0.0,1.0,2018-10-12,DOWN,144.965,146.7901,0.1956,-1.3154,1.511,13.3832,14.7755,46.2803,9.0314,-50.4069,60.0,76.6667,133.9411,144.965,155.9889,277619635.3946,124586854.0
299,139.52,142.8,138.08,140.48,135.8985,2350505,0.0,1.0,2018-10-11,UP,145.0567,146.9524,0.6787,-1.1611,1.8399,11.8889,14.6448,45.0686,9.0437,-63.1485,61.6667,78.3333,134.0414,145.0567,156.0719,278785533.5493,125781546.0
300,146.16,146.22,142.8,143.54,138.8587,1655655,0.0,1.0,2018-10-10,UP,145.168,147.2044,1.538,-0.5921,2.1301,12.6867,10.7294,47.9141,9.0454,-12.0036,63.3333,80.0,134.2442,145.168,156.0918,278745701.1783,128132051.0
301,146.72,148.2,144.54,146.54,141.7609,1111746,0.0,1.0,2018-10-09,UP,145.1137,147.2398,1.9364,-0.3418,2.2782,22.0431,10.2926,48.1663,9.1156,20.0463,65.0,81.6667,134.1777,145.1137,156.0496,279684882.9697,129787706.0
