,time,summary,title,trend
427,2019-12-11,"['Brian', 'Souter', 'is', 'disembarking.', 'The', 'one-time', 'bus', 'conductor', 'is', 'stepping', 'down', 'as', 'chairman', 'of', 'Stagecoach,', 'the', 'UK', 'transport...']","['Stagecoach/Brian', 'Souter:', 'a', 'driven', 'man']",DOWN
428,2019-12-11,"['...helped', 'transport', 'missile-related', 'graphite', 'and', 'high-grade', 'carbon', 'fibre', 'in', 'violation', 'of', 'UN', 'sanctions.', 'In', 'Iran,', 'Mahan', 'has...']","['US', 'hits', 'Iran’s', 'biggest', 'airline', 'and', 'shipping', 'group', 'with', 'sanctions']",DOWN
429,2019-12-11,"['...for', 'ideas', 'in', 'five', 'areas', '—', 'power,', 'the', 'built', 'environment,', 'transport,', 'food', 'and', 'nature', '—', 'and', 'plans', 'to', 'announce', 'which', 'ones', 'to...']","['Moral', 'Money:', 'Al', 'Gore', 'blasts', 'BlackRock,', 'Brussels', 'breakdown,', 'rewild', 'the', 'UK']",DOWN
430,2019-12-11,"['Stagecoach’s', 'co-founder', 'Brian', 'Souter,', 'who', 'started', 'the', 'transport', 'group', 'with', 'just', 'two', 'buses', 'in', '1980,', 'will', 'step', 'down', 'as...']","['Stagecoach', 'co-founder', 'Brian', 'Souter', 'to', 'step', 'down']",DOWN
431,2019-12-11,"['Shareholders', 'in', 'Eddie', 'Stobart', 'Logistics', 'will', 'be', 'given', 'the', 'option', 'to', 'take', 'part', 'in', 'a', 'rights', 'issue', 'early', 'next', 'year', 'to', 'help...']","['Eddie', 'Stobart', 'to', 'offer', 'investors', 'choice', 'in', 'financing']",DOWN
432,2019-12-11,"['...globalisation,', 'protesting', 'against', 'not', 'just', 'the', 'fossil', 'fuels', 'used', 'in', 'transport', 'but', 'also', 'what', 'they', 'say', 'is', 'the', 'transfer', 'to...']","['Is', 'the', 'EU’s', 'green', 'policy', 'protecting', 'the', 'planet', 'or', 'European', 'industry?']",DOWN
433,2019-12-11,"['...its', 'source', '—', 'the', 'former', 'president', 'of', 'America’s', 'largest', 'maker', 'of', 'gas-guzzling', 'vehicles', '—', 'underscores', 'the', 'extent', 'to', 'which...']","['Transportation', 'is', '‘broken’', '—', 'head', 'of', 'GM’s', 'driverless', 'car', 'unit']",DOWN
434,2019-12-11,"['...claims', 'were', 'underlined', 'by', 'Volkswagen,', 'which', 'plans', 'to', 'equip', 'consumer', 'vehicles', 'with', 'the', 'sort', 'of', 'lidar', 'systems', 'that', 'currently...']","['Volkswagen', 'invests', 'in', 'Aeva', 'self-driving', 'vision', 'start-up']",DOWN
435,2019-12-11,"['...vehicles.', 'Using', 'hydrogen', 'emits', 'no', 'carbon', 'at', 'the', 'point', 'of', 'use', 'so', 'Japan', 'regards', 'it', 'as', 'a', 'potential', 'answer', 'to', 'its...']","['Japan', 'launches', 'first', 'liquid', 'hydrogen', 'carrier', 'ship']",DOWN
436,2019-12-11,"['...chosen', 'for', 'German', '5G', 'Germany’s', 'second-largest', 'mobile', 'operator', 'has', 'chosen', 'Huawei', 'to', 'help', 'build', 'its', '5G', 'network,', 'despite', 'a...']","['Competition', 'on', 'the', 'menu', 'for', 'Amazon']",DOWN
