,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
810,1670.0,1685.0,1652.53,1664.78,1611.0045,304792,0.0,1.0,2016-08-18,1413.8728,1447.5349,62.3074,20.4671,41.8403,84.9993,84.2149,60.568,10.4286,282.2627,38.3333,100.0,1246.6896,1413.8728,1581.0561,-7299016.3028,109117940.0
811,1632.5,1679.12,1632.5,1668.35,1614.4591,524616,0.0,1.0,2016-08-17,1408.3937,1439.9937,56.4123,19.6888,36.7235,82.8349,87.0463,59.2719,10.206,300.0956,40.0,100.0,1254.0941,1408.3937,1562.6932,-7224203.073,109422732.0
812,1649.05,1670.0,1625.0,1636.03,1583.1831,338170,0.0,1.0,2016-08-16,1404.9353,1433.4681,51.8856,20.0843,31.8014,76.392,83.7368,60.1296,9.9866,309.596,41.6667,100.0,1261.9995,1404.9353,1547.8712,-7506428.4727,108898116.0
813,1614.95,1657.5,1594.22,1642.55,1589.4926,714062,0.0,1.0,2016-08-12,1402.5337,1426.1602,43.6681,16.8878,26.7803,69.3281,77.7216,58.9253,9.7743,315.3591,43.3333,93.3333,1271.7604,1402.5337,1533.3069,-7334037.3575,109236286.0
814,1560.0,1638.5,1557.4,1618.45,1566.1709,1526490,0.0,1.0,2016-08-11,1400.4507,1419.7606,36.0165,13.4582,22.5583,62.2981,67.7177,56.8605,9.5731,296.1753,45.0,95.0,1279.6785,1400.4507,1521.2228,-7710704.0661,108522224.0
815,1564.5,1565.8199,1530.1,1551.6801,1501.5577,341644,0.0,1.0,2016-08-10,1399.4835,1415.0067,31.3212,12.1274,19.1938,55.8516,62.545,57.0916,9.3912,228.1533,46.6667,96.6667,1282.9837,1399.4835,1515.9832,-8482417.0413,106995734.0
816,1575.0,1586.0,1544.1,1564.22,1513.6927,792592,0.0,1.0,2016-08-09,1397.9268,1409.9391,24.4146,8.2526,16.1619,44.8728,56.6314,57.6291,9.299,259.0429,48.3333,98.3333,1287.9766,1397.9268,1507.8771,-8553578.7726,107337378.0
817,1441.95,1658.62,1440.05,1576.0699,1525.1599,3164246,0.0,1.0,2016-08-08,1396.3768,1404.3438,14.175,0.0762,14.0988,36.2159,48.3783,51.9988,9.1797,261.4156,50.0,100.0,1294.101,1396.3768,1498.6527,-8522177.1278,108129970.0
818,1440.0,1450.4,1424.47,1442.3,1395.7111,246052,0.0,1.0,2016-08-05,1396.8027,1403.0691,14.4463,0.3666,14.0797,30.9727,29.6088,51.9067,9.0583,72.8292,51.6667,10.0,1293.5632,1396.8027,1500.0422,-9296262.2926,104965724.0
819,1425.0,1446.5,1405.97,1440.4301,1393.9015,395460,0.0,1.0,2016-08-04,1396.6943,1401.8172,14.781,0.7929,13.9881,41.0984,30.6605,51.1985,9.1568,58.5148,53.3333,11.6667,1293.6229,1396.6943,1499.7658,-9388591.888,104719672.0
820,1449.0,1449.0,1410.03,1415.22,1369.5057,363710,0.0,1.0,2016-08-03,1396.361,1401.0313,16.5204,2.7306,13.7899,53.9761,32.6487,52.4129,9.2495,48.8641,55.0,13.3333,1293.5288,1396.361,1499.1932,-9665600.4137,104324212.0
821,1453.5,1456.0,1435.85,1440.35,1393.824,185460,0.0,1.0,2016-08-02,1395.6702,1399.4052,16.0567,2.9495,13.1072,64.3465,59.9859,52.6431,9.351,81.6691,56.6667,15.0,1293.7085,1395.6702,1497.6318,-9398766.7395,104687922.0
822,1473.95,1496.95,1425.5,1441.1,1394.5497,342678,0.0,1.0,2016-08-01,1395.1035,1397.5715,14.773,2.4032,12.3698,61.5026,69.2936,53.6972,9.5011,101.5956,58.3333,16.6667,1294.0599,1395.1035,1496.147,-9296142.3729,104873382.0
823,1422.0,1472.1,1421.55,1466.9,1419.5164,431340,0.0,1.0,2016-07-29,1394.1043,1394.9824,10.8375,-0.9315,11.769,56.626,63.76,51.2594,9.6539,102.7854,60.0,18.3333,1295.0328,1394.1043,1493.1758,-9103101.1046,105216060.0
824,1407.5,1447.0,1405.1,1432.65,1367.0188,488140,0.0,1.0,2016-07-28,1393.8793,1394.0666,10.9463,-1.0557,12.0019,61.1324,51.4543,50.5447,9.7625,61.1844,61.6667,20.0,1295.0011,1393.8793,1492.7575,-9445699.2437,104784720.0
